claim_id,record_id,field,exact_claim,claim_category,source_id,locator,evidence_status,documentary_status,measurement_status,design_status,uncertainty,reviewer,proposed_action
W1-C0001,isfahan-tiles,description (= descriptionFa),شاهکار هفت‌رنگ صفوی، کبالت و لاجورد اصیل، فیروزه‌ای استاندارد جهانی و محراب‌های لاجوردی مسجد شاه و شیخ لطف‌الله در میدان نقش جهان اصفهان.,cultural-history,none-opened,-,unverified,not-checked-source-blocked,not-applicable,not-applicable,"superlatives ""اصیل"" and ""استاندارد جهانی"" have no cited basis; lapis lazuli in Safavid tile glazes not documented in record; schema: English-named field ""description"" holds the identical Persian text and is rendered as English copy in the EN UI",W1-sequential-AI-review,"rewrite as attributed/hedged text or add a specific citation; supply a real English ""description"""
W1-C0002,isfahan-tiles,culturalContext (= culturalContextFa),میدان نقش جهان، مسجد شاه (جامع عباسی) و مسجد شیخ لطف‌الله اصفهان,cultural-history,S003,ref_no 115,partially-supported,checked-against-S003,not-applicable,not-applicable,"S003 confirms WHC 115 ""Meidan Emam, Esfahan"" (1979); individual mosques are not itemised in S003; schema: English-named field ""culturalContext"" holds the identical Persian text and is rendered as English copy in the EN UI",W1-sequential-AI-review,"rewrite as attributed/hedged text or add a specific citation; supply a real English ""culturalContext"""
W1-C0003,isfahan-tiles,unescoRef (= unescoRefFa),ثبت میراث جهانی یونسکو (UNESCO World Heritage Site),heritage-designation,S003,ref_no 115,supported,checked-against-S003,not-applicable,not-applicable,"S003: ref_no 115 ""Meidan Emam, Esfahan"" inscribed 1979; the palette field gives no ID; schema: English-named field ""unescoRef"" holds the identical Persian text and is rendered as English copy in the EN UI",W1-sequential-AI-review,"keep; add WHC id and URL; supply a real English ""unescoRef"""
W1-C0004,achaemenid-majesty,description (= descriptionFa),خاک سرخ پارس، طلای کهن هخامنشی، ستون‌های سنگی مرمر شوش و پارسه و درفش‌های شهباز با قدمت ۲۵۰۰ سال تمدن شاهنشاهی.,cultural-history,none-opened,-,unverified,not-checked-source-blocked,not-applicable,not-applicable,"""marble columns of Susa and Parsa"" and ""2500 years"" are unsourced; Persepolis columns are commonly described as limestone (not checked); schema: English-named field ""description"" holds the identical Persian text and is rendered as English copy in the EN UI",W1-sequential-AI-review,"rewrite as attributed/hedged text or add a specific citation; supply a real English ""description"""
W1-C0005,achaemenid-majesty,culturalContext (= culturalContextFa),کاخ تچر، هدیش، دروازه ملل و پلکان آپادانا در پارسه (مرودشت شیراز),cultural-history,S003,ref_no 114,partially-supported,checked-against-S003,not-applicable,not-applicable,"S003 confirms WHC 114 Persepolis (1979); building list not itemised in S003; schema: English-named field ""culturalContext"" holds the identical Persian text and is rendered as English copy in the EN UI",W1-sequential-AI-review,"rewrite as attributed/hedged text or add a specific citation; supply a real English ""culturalContext"""
W1-C0006,achaemenid-majesty,unescoRef (= unescoRefFa),تخت جمشید (ثبت میراث جهانی یونسکو ۱۹۷۹),heritage-designation,S003,ref_no 114,supported,checked-against-S003,not-applicable,not-applicable,"S003: ref_no 114 ""Persepolis"" date_inscribed 1979; schema: English-named field ""unescoRef"" holds the identical Persian text and is rendered as English copy in the EN UI",W1-sequential-AI-review,"keep; add WHC id and URL; supply a real English ""unescoRef"""
W1-C0007,behzad-miniature,description (= descriptionFa),مکتب هرات و تبریز، شنگرف اصیل معدنی، سبز مالاکیت، شاه‌توت عنابی و طلای حل‌کاری بر بستر کاغذ سمرقندی با هارمونی جاودان نگارگری تیموری و صفوی.,cultural-history,none-opened,-,unverified,not-checked-source-blocked,not-applicable,not-applicable,"mixes Herat (Timurid) and Tabriz (Safavid) schools and Samarkand paper; no source; schema: English-named field ""description"" holds the identical Persian text and is rendered as English copy in the EN UI",W1-sequential-AI-review,"rewrite as attributed/hedged text or add a specific citation; supply a real English ""description"""
W1-C0008,behzad-miniature,culturalContext (= culturalContextFa),شاهنامه بایسنقری، خمسه نظامی و ظفرنامه تیموری مکتب هرات,cultural-history,none-opened,-,unverified,not-checked-source-blocked,not-applicable,not-applicable,"named manuscripts (Baysonghori Shahnameh, Khamsa, Zafarnama) not linked to any collection record; Behzad attribution per manuscript not checked; schema: English-named field ""culturalContext"" holds the identical Persian text and is rendered as English copy in the EN UI",W1-sequential-AI-review,"rewrite as attributed/hedged text or add a specific citation; supply a real English ""culturalContext"""
W1-C0009,behzad-miniature,unescoRef (= unescoRefFa),هنر نگارگری و مینیاتور ایرانی (ثبت میراث جهانی ناملموس یونسکو),heritage-designation,none-opened,-,unverified,not-checked-source-blocked,not-applicable,not-applicable,"ICH listing not checked: ich.unesco.org blocked; label frames a listing as ""Iranian"" without naming it; schema: English-named field ""unescoRef"" holds the identical Persian text and is rendered as English copy in the EN UI",W1-sequential-AI-review,"rewrite as attributed/hedged text or add a specific citation; supply a real English ""unescoRef"""
W1-C0010,nomadic-rugs,description (= descriptionFa),تار و پود پشم دست‌ریس و رنگرزی سنتی ۱۰۰٪ طبیعی با روناس، لاکی دانه، پوست گردو و نیل در دامنه‌های زاگرس.,cultural-history,none-opened,-,unverified,not-checked-source-blocked,not-applicable,not-applicable,"""۱۰۰٪ طبیعی"" (100% natural) is an absolute claim with no dye analysis; schema: English-named field ""description"" holds the identical Persian text and is rendered as English copy in the EN UI",W1-sequential-AI-review,"rewrite as attributed/hedged text or add a specific citation; supply a real English ""description"""
