domain,feature_or_check,owner,performed_checks,evidence,status,gaps_or_findings
A,Source-of-truth map and generated artifacts,A00/A01,"Traced data/src/app to dist, tokens, HTML, release; rebuilt and diffed",SCOPE_AND_BASELINE.md; evidence/A00-baseline/,pass,-
A,Browser/core duplication,A01,Checked app.js delegation to PersianCore; found dead duplicate helpers,agents/A00-lead-sequential-passes.md A01,pass,Dead code remains (MSR-API-004)
A,Persian vs English edition divergence,A01/W2,Diffed build step; exercised both editions,scripts/build-app.mjs; W2 report,fail,MSR-I18N-002
A,Lookup semantics and invalid input,A01,"Probed getColor/getPalette with IDs, names, hex, case, prototype keys",A00 A01; core.test.js,pass,Palette IDs are case-sensitive (documented as informational)
A,ESM/CJS/.mts/.cts consumption,A01/W3,verify:package; separate type-import probe,verify-package.log.txt; evidence/W3-security/cts-type-import.log,fail,CJS type imports fail (MSR-REL-003)
A,Stable IDs / versioned contracts,A01,Mutated English name and palette order in the diagnostic test,evidence/A13-qa/diagnostic.test.mjs,fail,MSR-API-001
B,Oklab/sRGB transfer and round trip,A02,Compared against culori 4.0.2 and colorjs 0.5.2; 200k round trips,evidence/A02-color/,pass,-
B,HCT/CAM16 and tonal palettes,A02,Compared against colorjs HCT; tested hue wrap and unreachable chroma,evidence/A02-color/,pass,hctToHex silently reduces chroma (MSR-API-003)
B,APCA polarity and values,A02,"3,000 pairs against colorjs contrastAPCA",evidence/A02-color/,pass,-
B,WCAG 2.x ratio,A02,"3,000 pairs against colorjs WCAG21",evidence/A02-color/,pass,Badge labels overclaim (MSR-UX-001)
B,Gamut behavior in mixing,A02,"7,665 interpolants checked for gamut and clipping error",evidence/A02-color/,pass-with-limitation,MSR-SCI-003
B,Measurement/spectral/physical wording,A02/W2,Grepped wording; tested dominant-wavelength plausibility,evidence/A02-color/; W2 MSR-UX-005,fail,"MSR-SCI-001, MSR-SCI-002"
B,Physical measurement provenance,A02,Checked for instrument/illuminant/specimen metadata,DATA_QUALITY.md,not-applicable,No measurement is claimed in the data model (measuredSpectra 0); it must stay that way
C,"Field-level cultural claims (72 colors, 12 palettes)",W1,"Generated 1,271-row ledger; reviewed statuses",CULTURAL_CLAIMS.csv; evidence/W1-cultural/build-claims.mjs,fail,MSR-CULT-001..005
C,Primary/scholarly source verification,W1,"Attempted UNESCO, PubChem, CAS, Wikipedia, mindat and museum sites",SOURCES.md; evidence/W1-cultural/source-notes.md,blocked,Egress policy blocked primary sites; mirrors used; no manuscript read
C,Coordinates vs claimed site,W1,Haversine distances to WHC reference points (2014 mirror),agents/W1-data-quality-draft.md §2,fail,MSR-CULT-001 (grid coordinates); Hormuz/Persepolis mismatch
C,Regional/chronological representation,W1,Qualitative review from background knowledge,agents/W1-cultural-review.md,fail,MSR-CULT-004; needs expert human review
D,"Schema, counts, duplicates, drift",W1/A13,Recomputed counts; checked hard-coded report values,DATA_QUALITY.md,fail,MSR-DATA-002; 1 duplicate HEX
D,Exporters preserve provenance,W1/W2,Inspected every output format,DATA_QUALITY.md §5,fail,MSR-DATA-003
D,Citability,W1,"Checked CITATION.cff, data license, version, correction history",DATA_QUALITY.md §6,fail,MSR-DATA-004
E,"Persian orthography, ZWNJ, ye/kaf, digits",W1,Scripted scan of data and UI,evidence/W1-cultural/persian-orthography-scan.out.json,pass,-
E,Normalization / search keys,W1,24-case probe,evidence/W1-cultural/normalization-probe.out.txt,fail,MSR-I18N-003
E,Bilingual semantic parity,A06/W1/W2,Verbatim fa vs en comparison; language-toggle leftover count,agents/W1-persian-language.md; W2,fail,"MSR-I18N-001 (High), MSR-I18N-002"
E,Mixed RTL/LTR rendering,W2,Screenshots of hex/Latin in RTL,evidence/W2-browser/screens/,fail,MSR-I18N-006
E,Unsupported superlatives,W1/W2/A06,Grepped Persian and English copy,agents/W1-persian-language.md §4,fail,"MSR-I18N-004, MSR-CULT-002"
